"name"|"offerID"
"HP Inc.?Smart Buy EliteBook 850 G4 Intel Core i5-7200U 2.5GHz Notebook PC - 8GB RAM 256GB SSD 15.6in LED-backlit HD SVA Anti-Glare Gigabit Ethernet 8265 AC 2x2 WiFi Bluetooth 4.2 Webcam 3-Cell 51Whr Li-Ion Polymer Long Life Battery?(1BS46UTABA)"|"pcmg_531"
"HP 15.6in EliteBook 850 G4 Notebook"|"sdicraft_170"
"ASUS - VivoBook Flip 14 TP412UA 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Star Gray"|"bestbuy_344"
"Asus VivoBook Flip 14 TP412UA-DB51T 14in Touchscreen LCD Notebook"|"antonline_571"
"Lenovo ThinkPad E580 15.6&ampquot Full HD Business Laptop 20KS003LUS"|"cukusa_18"
"HP Pavilion 15.6in IPS Laptop Intel Core i5 (8th Gen) Quad Core 8GB RAM 1TB HDD Ceramic White"|"antonline_158"
"Hewlett Packard 15in  i5 8250  8G 1T TCH W10 2c"|"buydig_380"
"HP ProBook 450 G3 15.6in LCD Notebook Intel Core i5 8GB RAM 500 GB HDD Black"|"antonline_213"
"HP - Pavilion x360 2-in-1 14in Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Silk Gold HP Finish In Natural Silver"|"bestbuy_674"
"Lenovo IdeaPad 730S-13IWL 81JB0004US 13.3in LCD Notebook"|"antonline_480"
"HP 14-BA110NR Pavilion x360 2-in-1 14&ampquot Touch-Screen Laptop Intel Core i5 8GB Memory 256GB Solid State Drive Silk Gold Finish In Natural Silver "|"truecurate_307"
"HP - ProBook 15.6in Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"|"bestbuy_691"
"Lenovo?ThinkPad E480 20KN 7th Gen Intel Core i3-7020U Dual-Core 2.30GHz Notebook PC - 4GB RAM 500GB HDD 14in HD (1366x768) TN Display Intel HD Graphics 620 802.11ac Wi-Fi Bluetooth 4.1 Windows 10 Pro 64-bit - Black?(20KN008GUS)"|"macmall_108"
"Lenovo?ThinkPad P52s 20LB 8th Gen Intel Core i7 8650U / 1.9 GHz - Win 10 Pro 64-bit - 16 GB RAM - 1 TB SSD TCG Opal Encryption 2 NVMe - 15.6in IPS 1920 x 1080 (Full HD) - Quadro P500 / UHD Graphics 620 - Wi-Fi Bluetooth - WWAN upgradable - Black?(20LB0019US)"|"macmall_271"
"Lenovo ThinkPad P52s 20LB0019US 15.6in LCD Mobile Workstation Ultrabook"|"antonline_887"
